Date,Close/Last,Volume,Open,High,Low
8/20/2020,$62.22 ,6326716,$62.78 ,$62.86 ,$61.93 
8/19/2020,$63.09 ,6092743,$63.07 ,$63.82 ,$62.95 
8/18/2020,$63.03 ,5745940,$63.49 ,$63.68 ,$62.90 
8/17/2020,$63.62 ,5972353,$63.41 ,$64.08 ,$63.17 
8/14/2020,$63.16 ,5607240,$63.19 ,$63.55 ,$62.75 
8/13/2020,$63.24 ,7748683,$63.02 ,$63.58 ,$62.90 
8/12/2020,$63.64 ,8616460,$63.58 ,$64.27 ,$63.45 
8/11/2020,$63.13 ,20736040,$62.97 ,$64.25 ,$62.69 
8/10/2020,$61.82 ,9820895,$60.96 ,$61.99 ,$60.77 
8/7/2020,$61.02 ,9969080,$61.56 ,$61.65 ,$60.42 
8/6/2020,$61.33 ,18961910,$62.00 ,$62.97 ,$60.42 
8/5/2020,$59.69 ,10789010,$59.95 ,$60.38 ,$59.41 
8/4/2020,$59.47 ,6527592,$58.83 ,$59.51 ,$58.53 
8/3/2020,$59.10 ,10342150,$59.11 ,$59.64 ,$58.95 
7/31/2020,$58.66 ,10439920,$58.88 ,$59.09 ,$57.77 
7/30/2020,$58.87 ,7175223,$58.80 ,$59.15 ,$58.34 
7/29/2020,$59.15 ,7358112,$59.16 ,$59.40 ,$58.59 
7/28/2020,$59.43 ,9816702,$58.55 ,$59.82 ,$58.24 
7/27/2020,$58.05 ,12371980,$57.55 ,$58.62 ,$57.35 
7/24/2020,$57.85 ,12531910,$59.67 ,$59.76 ,$57.55 
7/23/2020,$59.87 ,8913208,$60.12 ,$60.46 ,$59.57 
7/22/2020,$59.85 ,8960993,$59.89 ,$60.33 ,$59.34 
7/21/2020,$59.80 ,7804590,$59.59 ,$60.24 ,$59.32 
7/20/2020,$59.46 ,6759932,$60.29 ,$60.64 ,$59.22 
7/17/2020,$60.39 ,9078853,$59.70 ,$60.62 ,$59.40 
7/16/2020,$59.32 ,6949690,$59.23 ,$59.38 ,$58.73 
